FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.054;0.597;3.232;1;-0.058;0.651;3.289;2;-0.059;0.984;3.310;3;-0.073;1.189;3.288;4;-0.230;0.876;3.281;5;-0.296;0.625;3.253;6;-0.308;0.416;3.123;7;-0.302;0.334;3.076;8;0.105;0.897;3.310;9;0.183;0.616;3.278;10;0.219;0.412;3.155;11;0.221;0.331;3.114;12;-0.128;0.521;3.204;13;-0.165;0.091;3.201;14;-0.155;-0.254;3.268;15;-0.150;-0.288;3.179;16;0.022;0.524;3.223;17;0.046;0.116;3.194;18;0.042;-0.214;3.242;19;0.048;-0.248;3.152
Frame2;0.044;0;-0.054;0.597;3.232;1;-0.058;0.651;3.288;2;-0.058;0.984;3.310;3;-0.073;1.189;3.288;4;-0.230;0.876;3.280;5;-0.297;0.629;3.248;6;-0.306;0.419;3.119;7;-0.300;0.336;3.072;8;0.105;0.897;3.310;9;0.183;0.616;3.277;10;0.215;0.415;3.153;11;0.216;0.335;3.112;12;-0.128;0.521;3.204;13;-0.165;0.091;3.201;14;-0.155;-0.254;3.268;15;-0.149;-0.287;3.178;16;0.022;0.524;3.223;17;0.046;0.116;3.194;18;0.042;-0.214;3.242;19;0.048;-0.248;3.153
Frame3;0.060;0;-0.054;0.597;3.232;1;-0.058;0.651;3.288;2;-0.058;0.984;3.310;3;-0.073;1.189;3.288;4;-0.230;0.876;3.280;5;-0.297;0.629;3.248;6;-0.306;0.419;3.119;7;-0.300;0.336;3.072;8;0.105;0.897;3.310;9;0.183;0.616;3.277;10;0.215;0.415;3.153;11;0.216;0.335;3.112;12;-0.128;0.521;3.204;13;-0.165;0.091;3.201;14;-0.155;-0.254;3.268;15;-0.149;-0.287;3.178;16;0.022;0.524;3.223;17;0.046;0.116;3.194;18;0.042;-0.214;3.242;19;0.048;-0.248;3.153
Frame4;0.077;0;-0.054;0.597;3.232;1;-0.058;0.651;3.288;2;-0.058;0.985;3.310;3;-0.072;1.189;3.289;4;-0.230;0.877;3.280;5;-0.297;0.633;3.245;6;-0.305;0.422;3.116;7;-0.299;0.337;3.070;8;0.105;0.897;3.310;9;0.183;0.617;3.276;10;0.209;0.418;3.153;11;0.212;0.337;3.112;12;-0.128;0.521;3.203;13;-0.165;0.091;3.201;14;-0.155;-0.253;3.268;15;-0.149;-0.286;3.178;16;0.022;0.524;3.223;17;0.046;0.116;3.193;18;0.042;-0.215;3.243;19;0.048;-0.248;3.153
Frame5;0.094;0;-0.054;0.597;3.232;1;-0.058;0.651;3.288;2;-0.058;0.985;3.310;3;-0.072;1.189;3.289;4;-0.230;0.877;3.280;5;-0.297;0.633;3.245;6;-0.305;0.422;3.116;7;-0.299;0.337;3.070;8;0.105;0.897;3.310;9;0.183;0.617;3.276;10;0.209;0.418;3.153;11;0.212;0.337;3.112;12;-0.128;0.521;3.203;13;-0.165;0.091;3.201;14;-0.155;-0.253;3.268;15;-0.149;-0.286;3.178;16;0.022;0.524;3.223;17;0.046;0.116;3.193;18;0.042;-0.215;3.243;19;0.048;-0.248;3.153
Frame6;0.111;0;-0.054;0.598;3.231;1;-0.058;0.651;3.288;2;-0.058;0.985;3.310;3;-0.072;1.189;3.289;4;-0.230;0.877;3.280;5;-0.298;0.636;3.242;6;-0.303;0.424;3.113;7;-0.297;0.339;3.069;8;0.106;0.897;3.310;9;0.183;0.617;3.275;10;0.203;0.419;3.153;11;0.206;0.339;3.113;12;-0.128;0.522;3.203;13;-0.165;0.091;3.200;14;-0.155;-0.253;3.267;15;-0.148;-0.286;3.177;16;0.023;0.524;3.223;17;0.046;0.116;3.193;18;0.042;-0.215;3.243;19;0.048;-0.248;3.153
Frame7;0.153;0;-0.054;0.598;3.231;1;-0.058;0.651;3.288;2;-0.058;0.985;3.310;3;-0.072;1.190;3.290;4;-0.230;0.877;3.279;5;-0.298;0.639;3.240;6;-0.302;0.426;3.111;7;-0.296;0.340;3.068;8;0.106;0.897;3.311;9;0.182;0.618;3.276;10;0.197;0.421;3.158;11;0.202;0.339;3.114;12;-0.128;0.522;3.203;13;-0.165;0.091;3.200;14;-0.154;-0.253;3.267;15;-0.148;-0.286;3.177;16;0.023;0.524;3.223;17;0.046;0.116;3.193;18;0.042;-0.215;3.243;19;0.048;-0.248;3.153
Frame8;0.169;0;-0.054;0.598;3.231;1;-0.058;0.651;3.288;2;-0.058;0.985;3.311;3;-0.072;1.190;3.290;4;-0.230;0.877;3.279;5;-0.298;0.642;3.239;6;-0.301;0.427;3.109;7;-0.295;0.341;3.068;8;0.107;0.897;3.311;9;0.181;0.618;3.276;10;0.191;0.421;3.164;11;0.197;0.338;3.117;12;-0.128;0.522;3.202;13;-0.165;0.091;3.200;14;-0.154;-0.253;3.267;15;-0.148;-0.286;3.177;16;0.023;0.524;3.222;17;0.046;0.116;3.193;18;0.042;-0.214;3.243;19;0.048;-0.248;3.153
Frame9;0.186;0;-0.054;0.598;3.231;1;-0.058;0.651;3.288;2;-0.058;0.985;3.311;3;-0.072;1.190;3.290;4;-0.230;0.877;3.279;5;-0.298;0.642;3.239;6;-0.301;0.427;3.109;7;-0.295;0.341;3.068;8;0.107;0.897;3.311;9;0.181;0.618;3.276;10;0.191;0.421;3.164;11;0.197;0.338;3.117;12;-0.128;0.522;3.202;13;-0.165;0.091;3.200;14;-0.154;-0.253;3.267;15;-0.148;-0.286;3.177;16;0.023;0.524;3.222;17;0.046;0.116;3.193;18;0.042;-0.214;3.243;19;0.048;-0.248;3.153
Frame10;0.203;0;-0.053;0.598;3.231;1;-0.058;0.651;3.288;2;-0.058;0.985;3.311;3;-0.072;1.190;3.290;4;-0.230;0.877;3.279;5;-0.299;0.644;3.238;6;-0.300;0.428;3.108;7;-0.294;0.342;3.068;8;0.107;0.897;3.311;9;0.179;0.618;3.277;10;0.187;0.419;3.170;11;0.191;0.334;3.122;12;-0.128;0.522;3.202;13;-0.165;0.091;3.200;14;-0.154;-0.253;3.267;15;-0.148;-0.285;3.177;16;0.023;0.524;3.222;17;0.046;0.116;3.193;18;0.042;-0.214;3.243;19;0.048;-0.248;3.153
