FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.094;0.585;3.242;1;-0.104;0.638;3.298;2;-0.113;0.973;3.318;3;-0.114;1.176;3.299;4;-0.275;0.871;3.276;5;-0.350;0.626;3.252;6;-0.355;0.441;3.095;7;-0.343;0.348;3.052;8;0.064;0.888;3.327;9;0.157;0.639;3.270;10;0.196;0.459;3.130;11;0.196;0.386;3.079;12;-0.165;0.507;3.207;13;-0.194;0.097;3.208;14;-0.192;-0.245;3.269;15;-0.178;-0.277;3.179;16;-0.014;0.510;3.242;17;0.026;0.113;3.202;18;0.039;-0.233;3.249;19;0.052;-0.266;3.159
Frame2;0.041;0;-0.093;0.585;3.242;1;-0.103;0.638;3.298;2;-0.113;0.973;3.318;3;-0.114;1.177;3.299;4;-0.276;0.872;3.276;5;-0.347;0.623;3.254;6;-0.351;0.442;3.097;7;-0.340;0.352;3.051;8;0.064;0.889;3.326;9;0.153;0.639;3.271;10;0.178;0.453;3.140;11;0.184;0.379;3.080;12;-0.165;0.507;3.207;13;-0.194;0.097;3.208;14;-0.192;-0.245;3.269;15;-0.179;-0.277;3.179;16;-0.014;0.510;3.242;17;0.026;0.113;3.202;18;0.040;-0.234;3.249;19;0.052;-0.267;3.160
Frame3;0.057;0;-0.094;0.585;3.242;1;-0.103;0.639;3.298;2;-0.113;0.973;3.318;3;-0.114;1.177;3.300;4;-0.277;0.872;3.276;5;-0.343;0.619;3.257;6;-0.339;0.431;3.120;7;-0.330;0.352;3.070;8;0.064;0.889;3.325;9;0.139;0.631;3.281;10;0.157;0.438;3.161;11;0.166;0.357;3.099;12;-0.166;0.507;3.207;13;-0.194;0.097;3.208;14;-0.192;-0.245;3.269;15;-0.179;-0.277;3.179;16;-0.014;0.510;3.241;17;0.026;0.113;3.202;18;0.040;-0.234;3.249;19;0.052;-0.267;3.160
Frame4;0.074;0;-0.094;0.585;3.242;1;-0.103;0.639;3.298;2;-0.113;0.973;3.318;3;-0.114;1.177;3.300;4;-0.277;0.872;3.276;5;-0.343;0.619;3.257;6;-0.339;0.431;3.120;7;-0.330;0.352;3.070;8;0.064;0.889;3.325;9;0.139;0.631;3.281;10;0.157;0.438;3.161;11;0.166;0.357;3.099;12;-0.166;0.507;3.207;13;-0.194;0.097;3.208;14;-0.192;-0.245;3.269;15;-0.179;-0.277;3.179;16;-0.014;0.510;3.241;17;0.026;0.113;3.202;18;0.040;-0.234;3.249;19;0.052;-0.267;3.160
Frame5;0.093;0;-0.094;0.585;3.242;1;-0.103;0.639;3.298;2;-0.113;0.973;3.318;3;-0.114;1.177;3.299;4;-0.277;0.872;3.276;5;-0.340;0.612;3.265;6;-0.335;0.408;3.159;7;-0.326;0.324;3.112;8;0.064;0.889;3.325;9;0.124;0.619;3.295;10;0.139;0.417;3.192;11;0.145;0.345;3.127;12;-0.166;0.507;3.207;13;-0.195;0.097;3.208;14;-0.192;-0.245;3.269;15;-0.179;-0.277;3.179;16;-0.014;0.511;3.241;17;0.025;0.112;3.201;18;0.039;-0.233;3.249;19;0.051;-0.266;3.159
Frame6;0.110;0;-0.094;0.585;3.242;1;-0.103;0.639;3.298;2;-0.113;0.973;3.318;3;-0.114;1.177;3.299;4;-0.277;0.872;3.276;5;-0.340;0.612;3.265;6;-0.335;0.408;3.159;7;-0.326;0.324;3.112;8;0.064;0.889;3.325;9;0.124;0.619;3.295;10;0.139;0.417;3.192;11;0.145;0.345;3.127;12;-0.166;0.507;3.207;13;-0.195;0.097;3.208;14;-0.192;-0.245;3.269;15;-0.179;-0.277;3.179;16;-0.014;0.511;3.241;17;0.025;0.112;3.201;18;0.039;-0.233;3.249;19;0.051;-0.266;3.159
Frame7;0.127;0;-0.094;0.584;3.241;1;-0.104;0.638;3.297;2;-0.113;0.973;3.317;3;-0.115;1.174;3.287;4;-0.277;0.872;3.276;5;-0.337;0.602;3.274;6;-0.341;0.384;3.198;7;-0.338;0.296;3.166;8;0.064;0.889;3.324;9;0.113;0.609;3.308;10;0.126;0.393;3.235;11;0.139;0.306;3.193;12;-0.167;0.507;3.206;13;-0.197;0.097;3.206;14;-0.192;-0.245;3.269;15;-0.179;-0.277;3.179;16;-0.015;0.510;3.240;17;0.021;0.108;3.195;18;0.038;-0.232;3.246;19;0.050;-0.265;3.157
Frame8;0.144;0;-0.094;0.584;3.241;1;-0.104;0.638;3.297;2;-0.113;0.973;3.317;3;-0.115;1.174;3.287;4;-0.277;0.872;3.276;5;-0.337;0.602;3.274;6;-0.341;0.384;3.198;7;-0.338;0.296;3.166;8;0.064;0.889;3.324;9;0.113;0.609;3.308;10;0.126;0.393;3.235;11;0.139;0.306;3.193;12;-0.167;0.507;3.206;13;-0.197;0.097;3.206;14;-0.192;-0.245;3.269;15;-0.179;-0.277;3.179;16;-0.015;0.510;3.240;17;0.021;0.108;3.195;18;0.038;-0.232;3.246;19;0.050;-0.265;3.157
Frame9;0.161;0;-0.096;0.583;3.240;1;-0.105;0.637;3.296;2;-0.113;0.971;3.316;3;-0.115;1.172;3.280;4;-0.278;0.871;3.276;5;-0.337;0.593;3.280;6;-0.370;0.362;3.251;7;-0.367;0.272;3.241;8;0.063;0.888;3.323;9;0.107;0.598;3.319;10;0.137;0.366;3.276;11;0.155;0.275;3.257;12;-0.169;0.505;3.206;13;-0.200;0.096;3.203;14;-0.192;-0.245;3.269;15;-0.180;-0.278;3.179;16;-0.017;0.508;3.239;17;0.015;0.103;3.187;18;0.036;-0.231;3.244;19;0.048;-0.264;3.154
Frame10;0.178;0;-0.096;0.583;3.240;1;-0.105;0.637;3.296;2;-0.113;0.971;3.316;3;-0.115;1.172;3.280;4;-0.278;0.871;3.276;5;-0.337;0.593;3.280;6;-0.370;0.362;3.251;7;-0.367;0.272;3.241;8;0.063;0.888;3.323;9;0.107;0.598;3.319;10;0.137;0.366;3.276;11;0.155;0.275;3.257;12;-0.169;0.505;3.206;13;-0.200;0.096;3.203;14;-0.192;-0.245;3.269;15;-0.180;-0.278;3.179;16;-0.017;0.508;3.239;17;0.015;0.103;3.187;18;0.036;-0.231;3.244;19;0.048;-0.264;3.154
