FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.066;0.435;3.357;1;-0.071;0.491;3.413;2;-0.075;0.834;3.431;3;-0.071;1.027;3.477;4;-0.223;0.716;3.378;5;-0.253;0.451;3.354;6;-0.243;0.265;3.266;7;-0.219;0.213;3.254;8;0.075;0.724;3.397;9;0.118;0.454;3.364;10;0.152;0.273;3.289;11;0.161;0.199;3.271;12;-0.131;0.368;3.339;13;-0.161;0.007;3.401;14;-0.179;-0.263;3.386;15;-0.181;-0.288;3.314;16;0.001;0.369;3.348;17;0.051;-0.018;3.391;18;0.075;-0.310;3.426;19;0.084;-0.351;3.377
Frame2;0.039;0;-0.066;0.434;3.357;1;-0.071;0.491;3.413;2;-0.075;0.834;3.431;3;-0.071;1.027;3.477;4;-0.223;0.716;3.378;5;-0.254;0.450;3.356;6;-0.243;0.265;3.267;7;-0.219;0.214;3.254;8;0.075;0.724;3.397;9;0.117;0.455;3.365;10;0.156;0.273;3.290;11;0.168;0.238;3.276;12;-0.131;0.368;3.340;13;-0.162;0.009;3.401;14;-0.184;-0.265;3.366;15;-0.183;-0.288;3.291;16;0.001;0.369;3.348;17;0.051;-0.018;3.391;18;0.075;-0.307;3.421;19;0.084;-0.351;3.377
Frame3;0.055;0;-0.066;0.434;3.357;1;-0.071;0.491;3.413;2;-0.075;0.834;3.431;3;-0.071;1.027;3.477;4;-0.223;0.716;3.378;5;-0.254;0.450;3.356;6;-0.243;0.265;3.267;7;-0.219;0.214;3.254;8;0.075;0.724;3.397;9;0.117;0.455;3.365;10;0.156;0.273;3.290;11;0.168;0.238;3.276;12;-0.131;0.368;3.340;13;-0.162;0.009;3.401;14;-0.184;-0.265;3.366;15;-0.183;-0.288;3.291;16;0.001;0.369;3.348;17;0.051;-0.018;3.391;18;0.075;-0.307;3.421;19;0.084;-0.351;3.377
Frame4;0.072;0;-0.066;0.434;3.358;1;-0.071;0.491;3.413;2;-0.075;0.834;3.431;3;-0.071;1.027;3.478;4;-0.223;0.716;3.378;5;-0.254;0.450;3.359;6;-0.243;0.266;3.268;7;-0.220;0.215;3.254;8;0.074;0.723;3.397;9;0.117;0.456;3.368;10;0.163;0.280;3.284;11;0.174;0.243;3.269;12;-0.131;0.368;3.340;13;-0.162;0.010;3.401;14;-0.185;-0.265;3.359;15;-0.183;-0.286;3.284;16;0.001;0.368;3.349;17;0.051;-0.018;3.391;18;0.079;-0.299;3.400;19;0.090;-0.336;3.340
Frame5;0.089;0;-0.066;0.434;3.358;1;-0.071;0.491;3.413;2;-0.075;0.834;3.431;3;-0.071;1.027;3.478;4;-0.223;0.716;3.378;5;-0.254;0.450;3.359;6;-0.243;0.266;3.268;7;-0.220;0.215;3.254;8;0.074;0.723;3.397;9;0.117;0.456;3.368;10;0.163;0.280;3.284;11;0.174;0.243;3.269;12;-0.131;0.368;3.340;13;-0.162;0.010;3.401;14;-0.185;-0.265;3.359;15;-0.183;-0.286;3.284;16;0.001;0.368;3.349;17;0.051;-0.018;3.391;18;0.079;-0.299;3.400;19;0.090;-0.336;3.340
Frame6;0.106;0;-0.066;0.434;3.358;1;-0.071;0.491;3.414;2;-0.075;0.834;3.431;3;-0.071;1.026;3.478;4;-0.223;0.716;3.378;5;-0.254;0.450;3.362;6;-0.269;0.310;3.225;7;-0.275;0.276;3.174;8;0.074;0.723;3.397;9;0.116;0.458;3.382;10;0.182;0.328;3.252;11;0.200;0.296;3.216;12;-0.131;0.368;3.340;13;-0.162;0.011;3.401;14;-0.183;-0.268;3.386;15;-0.186;-0.303;3.320;16;0.001;0.368;3.350;17;0.051;-0.018;3.391;18;0.080;-0.297;3.397;19;0.087;-0.342;3.351
Frame7;0.123;0;-0.066;0.434;3.358;1;-0.071;0.491;3.414;2;-0.075;0.834;3.431;3;-0.071;1.026;3.478;4;-0.223;0.716;3.378;5;-0.254;0.450;3.362;6;-0.269;0.310;3.225;7;-0.275;0.276;3.174;8;0.074;0.723;3.397;9;0.116;0.458;3.382;10;0.182;0.328;3.252;11;0.200;0.296;3.216;12;-0.131;0.368;3.340;13;-0.162;0.011;3.401;14;-0.183;-0.268;3.386;15;-0.186;-0.303;3.320;16;0.001;0.368;3.350;17;0.051;-0.018;3.391;18;0.080;-0.297;3.397;19;0.087;-0.342;3.351
Frame8;0.139;0;-0.067;0.434;3.358;1;-0.071;0.491;3.414;2;-0.075;0.834;3.431;3;-0.071;1.026;3.477;4;-0.223;0.716;3.378;5;-0.253;0.459;3.370;6;-0.301;0.398;3.186;7;-0.317;0.373;3.133;8;0.074;0.724;3.398;9;0.118;0.464;3.394;10;0.199;0.395;3.222;11;0.224;0.375;3.167;12;-0.131;0.368;3.340;13;-0.162;0.010;3.401;14;-0.184;-0.269;3.391;15;-0.186;-0.319;3.353;16;0.001;0.368;3.350;17;0.050;-0.018;3.391;18;0.080;-0.296;3.394;19;0.086;-0.345;3.357
Frame9;0.177;0;-0.067;0.433;3.359;1;-0.071;0.491;3.414;2;-0.075;0.834;3.431;3;-0.072;1.026;3.477;4;-0.223;0.716;3.378;5;-0.253;0.471;3.372;6;-0.313;0.479;3.155;7;-0.335;0.474;3.092;8;0.073;0.724;3.399;9;0.126;0.499;3.416;10;0.217;0.473;3.214;11;0.243;0.456;3.151;12;-0.132;0.368;3.340;13;-0.161;0.009;3.402;14;-0.195;-0.258;3.353;15;-0.186;-0.323;3.360;16;0.001;0.367;3.351;17;0.050;-0.017;3.390;18;0.082;-0.293;3.391;19;0.093;-0.334;3.341
Frame10;0.193;0;-0.067;0.433;3.359;1;-0.072;0.490;3.414;2;-0.076;0.834;3.431;3;-0.073;1.025;3.476;4;-0.223;0.716;3.378;5;-0.256;0.495;3.367;6;-0.312;0.550;3.130;7;-0.317;0.556;3.133;8;0.072;0.725;3.401;9;0.132;0.531;3.430;10;0.219;0.524;3.211;11;0.243;0.531;3.143;12;-0.132;0.368;3.340;13;-0.161;0.007;3.403;14;-0.195;-0.257;3.353;15;-0.186;-0.326;3.365;16;0.000;0.367;3.351;17;0.050;-0.016;3.390;18;0.080;-0.275;3.385;19;0.093;-0.305;3.323
