FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.059;0.666;3.216;1;-0.059;0.721;3.267;2;-0.060;1.044;3.276;3;-0.084;1.240;3.240;4;-0.234;0.945;3.263;5;-0.270;0.674;3.261;6;-0.275;0.461;3.179;7;-0.285;0.390;3.166;8;0.108;0.959;3.264;9;0.154;0.684;3.243;10;0.154;0.471;3.159;11;0.153;0.404;3.143;12;-0.136;0.588;3.203;13;-0.176;0.186;3.192;14;-0.187;-0.192;3.243;15;-0.184;-0.249;3.174;16;0.018;0.592;3.203;17;0.069;0.197;3.178;18;0.075;-0.172;3.224;19;0.073;-0.206;3.138
Frame2;0.043;0;-0.059;0.665;3.216;1;-0.059;0.720;3.268;2;-0.060;1.044;3.276;3;-0.085;1.240;3.240;4;-0.234;0.944;3.264;5;-0.270;0.674;3.261;6;-0.275;0.461;3.180;7;-0.285;0.390;3.166;8;0.107;0.959;3.264;9;0.154;0.684;3.243;10;0.154;0.471;3.159;11;0.153;0.403;3.145;12;-0.136;0.588;3.203;13;-0.176;0.183;3.192;14;-0.187;-0.198;3.242;15;-0.185;-0.246;3.159;16;0.018;0.592;3.203;17;0.069;0.197;3.178;18;0.075;-0.178;3.222;19;0.073;-0.211;3.136
Frame3;0.059;0;-0.059;0.665;3.216;1;-0.059;0.720;3.268;2;-0.060;1.044;3.276;3;-0.085;1.240;3.240;4;-0.234;0.944;3.264;5;-0.270;0.674;3.261;6;-0.275;0.461;3.180;7;-0.285;0.390;3.166;8;0.107;0.959;3.264;9;0.154;0.684;3.243;10;0.154;0.471;3.159;11;0.153;0.403;3.145;12;-0.136;0.588;3.203;13;-0.176;0.183;3.192;14;-0.187;-0.198;3.242;15;-0.185;-0.246;3.159;16;0.018;0.592;3.203;17;0.069;0.197;3.178;18;0.075;-0.178;3.222;19;0.073;-0.211;3.136
Frame4;0.076;0;-0.059;0.665;3.217;1;-0.059;0.720;3.268;2;-0.061;1.044;3.277;3;-0.085;1.240;3.241;4;-0.234;0.944;3.265;5;-0.270;0.674;3.261;6;-0.275;0.460;3.180;7;-0.285;0.390;3.166;8;0.107;0.959;3.264;9;0.154;0.683;3.244;10;0.153;0.470;3.160;11;0.153;0.402;3.146;12;-0.136;0.588;3.204;13;-0.176;0.181;3.192;14;-0.187;-0.196;3.243;15;-0.187;-0.230;3.155;16;0.018;0.592;3.203;17;0.069;0.196;3.178;18;0.074;-0.188;3.225;19;0.072;-0.221;3.138
Frame5;0.093;0;-0.059;0.665;3.217;1;-0.059;0.720;3.268;2;-0.061;1.044;3.277;3;-0.085;1.240;3.241;4;-0.234;0.944;3.265;5;-0.270;0.674;3.261;6;-0.275;0.460;3.180;7;-0.285;0.390;3.166;8;0.107;0.959;3.264;9;0.154;0.683;3.244;10;0.153;0.470;3.160;11;0.153;0.402;3.146;12;-0.136;0.588;3.204;13;-0.176;0.181;3.192;14;-0.187;-0.196;3.243;15;-0.187;-0.230;3.155;16;0.018;0.592;3.203;17;0.069;0.196;3.178;18;0.074;-0.188;3.225;19;0.072;-0.221;3.138
Frame6;0.109;0;-0.059;0.665;3.217;1;-0.059;0.720;3.268;2;-0.061;1.044;3.277;3;-0.085;1.240;3.241;4;-0.234;0.944;3.266;5;-0.270;0.674;3.261;6;-0.274;0.460;3.180;7;-0.285;0.391;3.167;8;0.107;0.959;3.265;9;0.154;0.683;3.244;10;0.152;0.470;3.160;11;0.154;0.402;3.146;12;-0.136;0.588;3.204;13;-0.176;0.179;3.192;14;-0.189;-0.201;3.239;15;-0.189;-0.232;3.147;16;0.018;0.592;3.203;17;0.069;0.195;3.178;18;0.075;-0.169;3.218;19;0.073;-0.203;3.132
Frame7;0.126;0;-0.059;0.665;3.217;1;-0.059;0.720;3.268;2;-0.061;1.044;3.277;3;-0.085;1.240;3.241;4;-0.234;0.944;3.266;5;-0.270;0.674;3.261;6;-0.274;0.460;3.180;7;-0.285;0.391;3.167;8;0.107;0.959;3.265;9;0.154;0.683;3.244;10;0.152;0.470;3.160;11;0.154;0.402;3.146;12;-0.136;0.588;3.204;13;-0.176;0.179;3.192;14;-0.189;-0.201;3.239;15;-0.189;-0.232;3.147;16;0.018;0.592;3.203;17;0.069;0.195;3.178;18;0.075;-0.169;3.218;19;0.073;-0.203;3.132
Frame8;0.143;0;-0.059;0.665;3.217;1;-0.059;0.720;3.269;2;-0.061;1.044;3.277;3;-0.086;1.240;3.242;4;-0.234;0.944;3.267;5;-0.270;0.674;3.262;6;-0.274;0.460;3.180;7;-0.280;0.384;3.158;8;0.107;0.959;3.265;9;0.154;0.683;3.244;10;0.152;0.470;3.160;11;0.154;0.402;3.147;12;-0.136;0.588;3.204;13;-0.176;0.177;3.193;14;-0.190;-0.204;3.237;15;-0.190;-0.233;3.144;16;0.018;0.591;3.203;17;0.068;0.193;3.178;18;0.066;-0.126;3.214;19;0.064;-0.159;3.128
Frame9;0.160;0;-0.059;0.665;3.217;1;-0.059;0.720;3.269;2;-0.061;1.044;3.277;3;-0.086;1.240;3.242;4;-0.234;0.944;3.267;5;-0.270;0.674;3.262;6;-0.274;0.460;3.180;7;-0.280;0.384;3.158;8;0.107;0.959;3.265;9;0.154;0.683;3.244;10;0.152;0.470;3.160;11;0.154;0.402;3.147;12;-0.136;0.588;3.204;13;-0.176;0.177;3.193;14;-0.190;-0.204;3.237;15;-0.190;-0.233;3.144;16;0.018;0.591;3.203;17;0.068;0.193;3.178;18;0.066;-0.126;3.214;19;0.064;-0.159;3.128
Frame10;0.176;0;-0.059;0.665;3.217;1;-0.059;0.720;3.269;2;-0.061;1.044;3.278;3;-0.086;1.240;3.242;4;-0.234;0.943;3.267;5;-0.270;0.674;3.262;6;-0.274;0.460;3.180;7;-0.277;0.380;3.153;8;0.107;0.959;3.265;9;0.153;0.683;3.244;10;0.152;0.470;3.160;11;0.154;0.402;3.147;12;-0.136;0.588;3.204;13;-0.176;0.175;3.194;14;-0.191;-0.207;3.236;15;-0.191;-0.234;3.142;16;0.018;0.591;3.204;17;0.068;0.230;3.174;18;0.062;-0.095;3.212;19;0.081;-0.148;3.172
