FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.063;0.662;3.295;1;-0.077;0.719;3.330;2;-0.083;1.032;3.319;3;-0.067;1.224;3.302;4;-0.230;0.932;3.274;5;-0.309;0.667;3.260;6;-0.380;0.441;3.188;7;-0.393;0.345;3.160;8;0.094;0.942;3.376;9;0.156;0.661;3.392;10;0.173;0.456;3.287;11;0.180;0.379;3.256;12;-0.124;0.584;3.263;13;-0.178;0.244;3.233;14;-0.191;-0.033;3.246;15;-0.166;-0.069;3.155;16;0.016;0.584;3.320;17;0.074;0.215;3.271;18;0.094;-0.116;3.270;19;0.116;-0.155;3.180
Frame2;0.041;0;-0.060;0.661;3.296;1;-0.072;0.718;3.332;2;-0.079;1.032;3.321;3;-0.067;1.225;3.302;4;-0.231;0.930;3.286;5;-0.323;0.666;3.276;6;-0.411;0.444;3.227;7;-0.430;0.356;3.195;8;0.101;0.943;3.367;9;0.166;0.667;3.375;10;0.176;0.458;3.279;11;0.178;0.382;3.243;12;-0.123;0.582;3.269;13;-0.183;0.204;3.243;14;-0.198;-0.066;3.251;15;-0.182;-0.103;3.160;16;0.021;0.583;3.316;17;0.080;0.200;3.261;18;0.104;-0.152;3.265;19;0.106;-0.222;3.214
Frame3;0.058;0;-0.060;0.661;3.296;1;-0.072;0.718;3.332;2;-0.079;1.032;3.321;3;-0.067;1.225;3.302;4;-0.231;0.930;3.286;5;-0.323;0.666;3.276;6;-0.411;0.444;3.227;7;-0.430;0.356;3.195;8;0.101;0.943;3.367;9;0.166;0.667;3.375;10;0.176;0.458;3.279;11;0.178;0.382;3.243;12;-0.123;0.582;3.269;13;-0.183;0.204;3.243;14;-0.198;-0.066;3.251;15;-0.182;-0.103;3.160;16;0.021;0.583;3.316;17;0.080;0.200;3.261;18;0.104;-0.152;3.265;19;0.106;-0.222;3.214
Frame4;0.075;0;-0.057;0.660;3.297;1;-0.067;0.718;3.334;2;-0.075;1.032;3.322;3;-0.068;1.225;3.303;4;-0.231;0.928;3.295;5;-0.331;0.667;3.289;6;-0.424;0.446;3.252;7;-0.446;0.362;3.215;8;0.106;0.944;3.359;9;0.171;0.670;3.365;10;0.178;0.460;3.272;11;0.178;0.383;3.236;12;-0.121;0.581;3.274;13;-0.186;0.179;3.247;14;-0.199;-0.148;3.265;15;-0.189;-0.185;3.175;16;0.024;0.583;3.313;17;0.082;0.197;3.256;18;0.100;-0.129;3.264;19;0.101;-0.175;3.194
Frame5;0.115;0;-0.055;0.660;3.298;1;-0.062;0.717;3.336;2;-0.072;1.033;3.324;3;-0.069;1.226;3.303;4;-0.231;0.927;3.303;5;-0.336;0.669;3.299;6;-0.428;0.445;3.284;7;-0.452;0.366;3.236;8;0.109;0.945;3.352;9;0.174;0.672;3.359;10;0.179;0.461;3.267;11;0.177;0.384;3.230;12;-0.120;0.580;3.278;13;-0.178;0.196;3.252;14;-0.195;-0.074;3.259;15;-0.188;-0.110;3.168;16;0.028;0.583;3.309;17;0.084;0.195;3.252;18;0.101;-0.124;3.277;19;0.101;-0.173;3.200
Frame6;0.132;0;-0.055;0.660;3.298;1;-0.062;0.717;3.336;2;-0.072;1.033;3.324;3;-0.069;1.226;3.303;4;-0.231;0.927;3.303;5;-0.336;0.669;3.299;6;-0.428;0.445;3.284;7;-0.452;0.366;3.236;8;0.109;0.945;3.352;9;0.174;0.672;3.359;10;0.179;0.461;3.267;11;0.177;0.384;3.230;12;-0.120;0.580;3.278;13;-0.178;0.196;3.252;14;-0.195;-0.074;3.259;15;-0.188;-0.110;3.168;16;0.028;0.583;3.309;17;0.084;0.195;3.252;18;0.101;-0.124;3.277;19;0.101;-0.173;3.200
Frame7;0.149;0;-0.053;0.659;3.299;1;-0.059;0.717;3.337;2;-0.069;1.033;3.326;3;-0.070;1.227;3.303;4;-0.231;0.926;3.311;5;-0.337;0.671;3.311;6;-0.429;0.444;3.298;7;-0.452;0.366;3.258;8;0.111;0.945;3.346;9;0.176;0.673;3.354;10;0.180;0.462;3.263;11;0.176;0.384;3.226;12;-0.119;0.579;3.281;13;-0.177;0.197;3.255;14;-0.203;-0.132;3.269;15;-0.201;-0.169;3.178;16;0.030;0.583;3.306;17;0.085;0.193;3.250;18;0.101;-0.124;3.277;19;0.100;-0.168;3.202
Frame8;0.165;0;-0.053;0.659;3.299;1;-0.059;0.717;3.337;2;-0.069;1.033;3.326;3;-0.070;1.227;3.303;4;-0.231;0.926;3.311;5;-0.337;0.671;3.311;6;-0.429;0.444;3.298;7;-0.452;0.366;3.258;8;0.111;0.945;3.346;9;0.176;0.673;3.354;10;0.180;0.462;3.263;11;0.176;0.384;3.226;12;-0.119;0.579;3.281;13;-0.177;0.197;3.255;14;-0.203;-0.132;3.269;15;-0.201;-0.169;3.178;16;0.030;0.583;3.306;17;0.085;0.193;3.250;18;0.101;-0.124;3.277;19;0.100;-0.168;3.202
Frame9;0.182;0;-0.051;0.659;3.300;1;-0.056;0.716;3.338;2;-0.067;1.033;3.327;3;-0.071;1.227;3.303;4;-0.231;0.926;3.317;5;-0.330;0.671;3.330;6;-0.423;0.444;3.305;7;-0.444;0.367;3.272;8;0.112;0.945;3.340;9;0.177;0.674;3.351;10;0.180;0.463;3.259;11;0.176;0.384;3.224;12;-0.118;0.579;3.284;13;-0.175;0.194;3.260;14;-0.197;-0.109;3.272;15;-0.198;-0.146;3.181;16;0.032;0.583;3.304;17;0.086;0.191;3.249;18;0.101;-0.124;3.277;19;0.099;-0.132;3.192
Frame10;0.199;0;-0.051;0.659;3.300;1;-0.056;0.716;3.338;2;-0.067;1.033;3.327;3;-0.071;1.227;3.303;4;-0.231;0.926;3.317;5;-0.330;0.671;3.330;6;-0.423;0.444;3.305;7;-0.444;0.367;3.272;8;0.112;0.945;3.340;9;0.177;0.674;3.351;10;0.180;0.463;3.259;11;0.176;0.384;3.224;12;-0.118;0.579;3.284;13;-0.175;0.194;3.260;14;-0.197;-0.109;3.272;15;-0.198;-0.146;3.181;16;0.032;0.583;3.304;17;0.086;0.191;3.249;18;0.101;-0.124;3.277;19;0.099;-0.132;3.192
Frame11;0.216;0;-0.050;0.659;3.300;1;-0.053;0.716;3.339;2;-0.065;1.033;3.328;3;-0.073;1.228;3.303;4;-0.230;0.926;3.324;5;-0.324;0.671;3.343;6;-0.392;0.446;3.304;7;-0.423;0.366;3.283;8;0.113;0.946;3.333;9;0.177;0.675;3.348;10;0.179;0.465;3.255;11;0.175;0.384;3.221;12;-0.118;0.578;3.286;13;-0.171;0.188;3.269;14;-0.201;-0.151;3.270;15;-0.206;-0.188;3.178;16;0.034;0.583;3.301;17;0.087;0.189;3.248;18;0.097;-0.090;3.278;19;0.093;-0.125;3.185
Frame12;0.233;0;-0.050;0.659;3.300;1;-0.053;0.716;3.339;2;-0.065;1.033;3.328;3;-0.073;1.228;3.303;4;-0.230;0.926;3.324;5;-0.324;0.671;3.343;6;-0.392;0.446;3.304;7;-0.423;0.366;3.283;8;0.113;0.946;3.333;9;0.177;0.675;3.348;10;0.179;0.465;3.255;11;0.175;0.384;3.221;12;-0.118;0.578;3.286;13;-0.171;0.188;3.269;14;-0.201;-0.151;3.270;15;-0.206;-0.188;3.178;16;0.034;0.583;3.301;17;0.087;0.189;3.248;18;0.097;-0.090;3.278;19;0.093;-0.125;3.185
