FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.068;0.556;3.255;1;-0.076;0.613;3.310;2;-0.085;0.952;3.321;3;-0.092;1.154;3.308;4;-0.261;0.830;3.285;5;-0.308;0.578;3.272;6;-0.303;0.371;3.188;7;-0.296;0.300;3.164;8;0.094;0.844;3.341;9;0.160;0.567;3.346;10;0.169;0.367;3.247;11;0.172;0.298;3.223;12;-0.144;0.475;3.227;13;-0.187;0.089;3.201;14;-0.206;-0.238;3.230;15;-0.190;-0.271;3.140;16;0.016;0.479;3.255;17;0.074;0.097;3.224;18;0.097;-0.243;3.242;19;0.111;-0.275;3.151
Frame2;0.045;0;-0.067;0.555;3.256;1;-0.077;0.611;3.311;2;-0.084;0.948;3.321;3;-0.090;1.144;3.303;4;-0.260;0.828;3.284;5;-0.308;0.572;3.271;6;-0.302;0.365;3.185;7;-0.296;0.299;3.164;8;0.095;0.838;3.347;9;0.159;0.564;3.351;10;0.169;0.365;3.248;11;0.173;0.298;3.224;12;-0.144;0.474;3.227;13;-0.189;0.090;3.191;14;-0.208;-0.239;3.224;15;-0.191;-0.272;3.135;16;0.016;0.477;3.257;17;0.076;0.098;3.222;18;0.098;-0.241;3.240;19;0.114;-0.273;3.149
Frame3;0.090;0;-0.067;0.551;3.258;1;-0.078;0.607;3.313;2;-0.085;0.939;3.322;3;-0.088;1.137;3.300;4;-0.259;0.823;3.281;5;-0.310;0.569;3.267;6;-0.301;0.362;3.181;7;-0.296;0.297;3.160;8;0.095;0.830;3.355;9;0.159;0.558;3.356;10;0.168;0.359;3.250;11;0.175;0.290;3.224;12;-0.143;0.471;3.228;13;-0.191;0.090;3.173;14;-0.210;-0.240;3.219;15;-0.191;-0.273;3.130;16;0.017;0.472;3.261;17;0.081;0.097;3.214;18;0.101;-0.238;3.237;19;0.120;-0.270;3.146
Frame4;0.107;0;-0.067;0.551;3.258;1;-0.078;0.607;3.313;2;-0.085;0.939;3.322;3;-0.088;1.137;3.300;4;-0.259;0.823;3.281;5;-0.310;0.569;3.267;6;-0.301;0.362;3.181;7;-0.296;0.297;3.160;8;0.095;0.830;3.355;9;0.159;0.558;3.356;10;0.168;0.359;3.250;11;0.175;0.290;3.224;12;-0.143;0.471;3.228;13;-0.191;0.090;3.173;14;-0.210;-0.240;3.219;15;-0.191;-0.273;3.130;16;0.017;0.472;3.261;17;0.081;0.097;3.214;18;0.101;-0.238;3.237;19;0.120;-0.270;3.146
Frame5;0.123;0;-0.067;0.548;3.260;1;-0.079;0.603;3.314;2;-0.085;0.933;3.322;3;-0.088;1.132;3.299;4;-0.258;0.819;3.278;5;-0.319;0.569;3.255;6;-0.303;0.361;3.171;7;-0.298;0.295;3.149;8;0.094;0.822;3.362;9;0.158;0.555;3.358;10;0.168;0.357;3.250;11;0.176;0.289;3.224;12;-0.142;0.469;3.229;13;-0.192;0.091;3.161;14;-0.213;-0.213;3.195;15;-0.190;-0.246;3.107;16;0.017;0.469;3.263;17;0.084;0.096;3.208;18;0.104;-0.235;3.232;19;0.126;-0.267;3.142
Frame6;0.140;0;-0.067;0.548;3.260;1;-0.079;0.603;3.314;2;-0.085;0.933;3.322;3;-0.088;1.132;3.299;4;-0.258;0.819;3.278;5;-0.319;0.569;3.255;6;-0.303;0.361;3.171;7;-0.298;0.295;3.149;8;0.094;0.822;3.362;9;0.158;0.555;3.358;10;0.168;0.357;3.250;11;0.176;0.289;3.224;12;-0.142;0.469;3.229;13;-0.192;0.091;3.161;14;-0.213;-0.213;3.195;15;-0.190;-0.246;3.107;16;0.017;0.469;3.263;17;0.084;0.096;3.208;18;0.104;-0.235;3.232;19;0.126;-0.267;3.142
Frame7;0.157;0;-0.067;0.546;3.261;1;-0.080;0.600;3.315;2;-0.085;0.929;3.323;3;-0.087;1.129;3.299;4;-0.257;0.816;3.277;5;-0.340;0.586;3.222;6;-0.314;0.383;3.129;7;-0.296;0.298;3.098;8;0.093;0.817;3.368;9;0.158;0.553;3.359;10;0.171;0.358;3.247;11;0.182;0.289;3.219;12;-0.142;0.467;3.229;13;-0.192;0.092;3.154;14;-0.215;-0.204;3.187;15;-0.189;-0.237;3.099;16;0.016;0.465;3.265;17;0.086;0.096;3.204;18;0.106;-0.232;3.229;19;0.130;-0.264;3.139
Frame8;0.174;0;-0.067;0.546;3.261;1;-0.080;0.600;3.315;2;-0.085;0.929;3.323;3;-0.087;1.129;3.299;4;-0.257;0.816;3.277;5;-0.340;0.586;3.222;6;-0.314;0.383;3.129;7;-0.296;0.298;3.098;8;0.093;0.817;3.368;9;0.158;0.553;3.359;10;0.171;0.358;3.247;11;0.182;0.289;3.219;12;-0.142;0.467;3.229;13;-0.192;0.092;3.154;14;-0.215;-0.204;3.187;15;-0.189;-0.237;3.099;16;0.016;0.465;3.265;17;0.086;0.096;3.204;18;0.106;-0.232;3.229;19;0.130;-0.264;3.139
Frame9;0.191;0;-0.067;0.544;3.262;1;-0.082;0.598;3.316;2;-0.087;0.926;3.325;3;-0.088;1.126;3.302;4;-0.257;0.814;3.275;5;-0.354;0.601;3.196;6;-0.325;0.406;3.072;7;-0.295;0.318;3.049;8;0.092;0.813;3.372;9;0.166;0.586;3.349;10;0.204;0.391;3.232;11;0.214;0.315;3.192;12;-0.142;0.465;3.230;13;-0.193;0.093;3.150;14;-0.214;-0.224;3.202;15;-0.187;-0.256;3.115;16;0.016;0.463;3.267;17;0.087;0.095;3.201;18;0.108;-0.229;3.227;19;0.133;-0.261;3.137
Frame10;0.208;0;-0.067;0.544;3.262;1;-0.082;0.598;3.316;2;-0.087;0.926;3.325;3;-0.088;1.126;3.302;4;-0.257;0.814;3.275;5;-0.354;0.601;3.196;6;-0.325;0.406;3.072;7;-0.295;0.318;3.049;8;0.092;0.813;3.372;9;0.166;0.586;3.349;10;0.204;0.391;3.232;11;0.214;0.315;3.192;12;-0.142;0.465;3.230;13;-0.193;0.093;3.150;14;-0.214;-0.224;3.202;15;-0.187;-0.256;3.115;16;0.016;0.463;3.267;17;0.087;0.095;3.201;18;0.108;-0.229;3.227;19;0.133;-0.261;3.137
