FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.078;0.574;3.254;1;-0.085;0.631;3.309;2;-0.092;0.968;3.314;3;-0.110;1.172;3.316;4;-0.264;0.843;3.286;5;-0.330;0.601;3.307;6;-0.305;0.401;3.205;7;-0.295;0.331;3.147;8;0.088;0.869;3.323;9;0.174;0.632;3.328;10;0.149;0.441;3.223;11;0.146;0.374;3.194;12;-0.154;0.493;3.231;13;-0.209;0.104;3.211;14;-0.225;-0.217;3.229;15;-0.217;-0.250;3.142;16;0.004;0.498;3.249;17;0.067;0.111;3.223;18;0.090;-0.226;3.237;19;0.098;-0.259;3.150
Frame2;0.040;0;-0.078;0.574;3.254;1;-0.085;0.631;3.309;2;-0.092;0.967;3.314;3;-0.111;1.172;3.315;4;-0.265;0.844;3.286;5;-0.330;0.601;3.308;6;-0.305;0.401;3.204;7;-0.294;0.331;3.148;8;0.087;0.869;3.322;9;0.173;0.633;3.326;10;0.148;0.441;3.224;11;0.149;0.369;3.202;12;-0.155;0.493;3.231;13;-0.209;0.104;3.211;14;-0.225;-0.217;3.229;15;-0.218;-0.250;3.142;16;0.004;0.498;3.249;17;0.066;0.111;3.224;18;0.090;-0.226;3.237;19;0.098;-0.259;3.150
Frame3;0.057;0;-0.079;0.574;3.254;1;-0.085;0.631;3.309;2;-0.092;0.967;3.314;3;-0.114;1.171;3.313;4;-0.265;0.844;3.286;5;-0.331;0.601;3.308;6;-0.306;0.400;3.204;7;-0.294;0.331;3.150;8;0.085;0.869;3.320;9;0.172;0.633;3.325;10;0.147;0.440;3.224;11;0.150;0.366;3.206;12;-0.155;0.493;3.231;13;-0.210;0.104;3.210;14;-0.225;-0.217;3.228;15;-0.219;-0.250;3.141;16;0.003;0.498;3.249;17;0.066;0.111;3.224;18;0.090;-0.226;3.237;19;0.098;-0.259;3.150
Frame4;0.074;0;-0.079;0.574;3.254;1;-0.085;0.631;3.309;2;-0.092;0.967;3.314;3;-0.114;1.171;3.313;4;-0.265;0.844;3.286;5;-0.331;0.601;3.308;6;-0.306;0.400;3.204;7;-0.294;0.331;3.150;8;0.085;0.869;3.320;9;0.172;0.633;3.325;10;0.147;0.440;3.224;11;0.150;0.366;3.206;12;-0.155;0.493;3.231;13;-0.210;0.104;3.210;14;-0.225;-0.217;3.228;15;-0.219;-0.250;3.141;16;0.003;0.498;3.249;17;0.066;0.111;3.224;18;0.090;-0.226;3.237;19;0.098;-0.259;3.150
Frame5;0.090;0;-0.079;0.574;3.254;1;-0.086;0.631;3.309;2;-0.093;0.967;3.314;3;-0.118;1.170;3.312;4;-0.267;0.844;3.286;5;-0.332;0.600;3.308;6;-0.308;0.401;3.204;7;-0.297;0.332;3.154;8;0.083;0.868;3.319;9;0.171;0.633;3.325;10;0.147;0.439;3.225;11;0.151;0.364;3.210;12;-0.156;0.493;3.231;13;-0.211;0.104;3.210;14;-0.226;-0.217;3.228;15;-0.220;-0.250;3.140;16;0.002;0.498;3.248;17;0.065;0.111;3.224;18;0.090;-0.226;3.238;19;0.097;-0.259;3.150
Frame6;0.108;0;-0.079;0.574;3.254;1;-0.086;0.631;3.309;2;-0.093;0.967;3.314;3;-0.118;1.170;3.312;4;-0.267;0.844;3.286;5;-0.332;0.600;3.308;6;-0.308;0.401;3.204;7;-0.297;0.332;3.154;8;0.083;0.868;3.319;9;0.171;0.633;3.325;10;0.147;0.439;3.225;11;0.151;0.364;3.210;12;-0.156;0.493;3.231;13;-0.211;0.104;3.210;14;-0.226;-0.217;3.228;15;-0.220;-0.250;3.140;16;0.002;0.498;3.248;17;0.065;0.111;3.224;18;0.090;-0.226;3.238;19;0.097;-0.259;3.150
Frame7;0.125;0;-0.081;0.574;3.253;1;-0.087;0.631;3.308;2;-0.097;0.967;3.312;3;-0.123;1.169;3.312;4;-0.269;0.845;3.286;5;-0.334;0.599;3.309;6;-0.310;0.401;3.205;7;-0.301;0.333;3.160;8;0.078;0.868;3.316;9;0.170;0.633;3.324;10;0.146;0.438;3.225;11;0.151;0.362;3.213;12;-0.157;0.493;3.231;13;-0.211;0.104;3.210;14;-0.226;-0.216;3.227;15;-0.220;-0.249;3.140;16;0.001;0.498;3.248;17;0.064;0.111;3.223;18;0.090;-0.226;3.238;19;0.097;-0.259;3.150
Frame8;0.141;0;-0.081;0.574;3.253;1;-0.087;0.631;3.308;2;-0.097;0.967;3.312;3;-0.123;1.169;3.312;4;-0.269;0.845;3.286;5;-0.334;0.599;3.309;6;-0.310;0.401;3.205;7;-0.301;0.333;3.160;8;0.078;0.868;3.316;9;0.170;0.633;3.324;10;0.146;0.438;3.225;11;0.151;0.362;3.213;12;-0.157;0.493;3.231;13;-0.211;0.104;3.210;14;-0.226;-0.216;3.227;15;-0.220;-0.249;3.140;16;0.001;0.498;3.248;17;0.064;0.111;3.223;18;0.090;-0.226;3.238;19;0.097;-0.259;3.150
Frame9;0.179;0;-0.084;0.574;3.253;1;-0.089;0.631;3.308;2;-0.103;0.968;3.310;3;-0.135;1.169;3.313;4;-0.278;0.845;3.287;5;-0.338;0.600;3.310;6;-0.313;0.403;3.207;7;-0.304;0.334;3.166;8;0.067;0.870;3.308;9;0.167;0.634;3.321;10;0.145;0.438;3.226;11;0.151;0.361;3.214;12;-0.160;0.493;3.231;13;-0.212;0.104;3.209;14;-0.227;-0.217;3.227;15;-0.222;-0.250;3.140;16;-0.003;0.498;3.247;17;0.063;0.111;3.223;18;0.090;-0.226;3.238;19;0.097;-0.259;3.151
Frame10;0.196;0;-0.084;0.574;3.253;1;-0.089;0.631;3.308;2;-0.103;0.968;3.310;3;-0.135;1.169;3.313;4;-0.278;0.845;3.287;5;-0.338;0.600;3.310;6;-0.313;0.403;3.207;7;-0.304;0.334;3.166;8;0.067;0.870;3.308;9;0.167;0.634;3.321;10;0.145;0.438;3.226;11;0.151;0.361;3.214;12;-0.160;0.493;3.231;13;-0.212;0.104;3.209;14;-0.227;-0.217;3.227;15;-0.222;-0.250;3.140;16;-0.003;0.498;3.247;17;0.063;0.111;3.223;18;0.090;-0.226;3.238;19;0.097;-0.259;3.151
Frame11;0.213;0;-0.087;0.574;3.252;1;-0.092;0.632;3.307;2;-0.114;0.971;3.306;3;-0.149;1.170;3.318;4;-0.290;0.845;3.289;5;-0.342;0.601;3.311;6;-0.315;0.405;3.209;7;-0.307;0.336;3.171;8;0.056;0.873;3.299;9;0.153;0.626;3.303;10;0.144;0.429;3.226;11;0.150;0.357;3.215;12;-0.162;0.493;3.231;13;-0.213;0.104;3.210;14;-0.228;-0.217;3.227;15;-0.224;-0.250;3.140;16;-0.005;0.499;3.246;17;0.062;0.111;3.223;18;0.090;-0.227;3.238;19;0.095;-0.260;3.151
Frame12;0.229;0;-0.087;0.574;3.252;1;-0.092;0.632;3.307;2;-0.114;0.971;3.306;3;-0.149;1.170;3.318;4;-0.290;0.845;3.289;5;-0.342;0.601;3.311;6;-0.315;0.405;3.209;7;-0.307;0.336;3.171;8;0.056;0.873;3.299;9;0.153;0.626;3.303;10;0.144;0.429;3.226;11;0.150;0.357;3.215;12;-0.162;0.493;3.231;13;-0.213;0.104;3.210;14;-0.228;-0.217;3.227;15;-0.224;-0.250;3.140;16;-0.005;0.499;3.246;17;0.062;0.111;3.223;18;0.090;-0.227;3.238;19;0.095;-0.260;3.151
Frame13;0.246;0;-0.091;0.574;3.252;1;-0.095;0.632;3.306;2;-0.122;0.974;3.303;3;-0.161;1.171;3.323;4;-0.300;0.845;3.291;5;-0.346;0.602;3.312;6;-0.318;0.407;3.213;7;-0.310;0.338;3.177;8;0.047;0.875;3.293;9;0.146;0.622;3.293;10;0.143;0.423;3.224;11;0.131;0.338;3.182;12;-0.164;0.493;3.230;13;-0.214;0.104;3.210;14;-0.229;-0.219;3.230;15;-0.228;-0.253;3.143;16;-0.008;0.499;3.245;17;0.062;0.112;3.223;18;0.090;-0.227;3.239;19;0.093;-0.262;3.152
Frame14;0.263;0;-0.091;0.574;3.252;1;-0.095;0.632;3.306;2;-0.122;0.974;3.303;3;-0.161;1.171;3.323;4;-0.300;0.845;3.291;5;-0.346;0.602;3.312;6;-0.318;0.407;3.213;7;-0.310;0.338;3.177;8;0.047;0.875;3.293;9;0.146;0.622;3.293;10;0.143;0.423;3.224;11;0.131;0.338;3.182;12;-0.164;0.493;3.230;13;-0.214;0.104;3.210;14;-0.229;-0.219;3.230;15;-0.228;-0.253;3.143;16;-0.008;0.499;3.245;17;0.062;0.112;3.223;18;0.090;-0.227;3.239;19;0.093;-0.262;3.152
Frame15;0.280;0;-0.093;0.575;3.251;1;-0.097;0.633;3.305;2;-0.128;0.975;3.302;3;-0.168;1.172;3.326;4;-0.306;0.845;3.292;5;-0.350;0.605;3.313;6;-0.320;0.410;3.218;7;-0.312;0.340;3.182;8;0.041;0.877;3.289;9;0.142;0.620;3.288;10;0.141;0.418;3.222;11;0.125;0.332;3.171;12;-0.166;0.493;3.230;13;-0.215;0.104;3.211;14;-0.230;-0.220;3.232;15;-0.231;-0.255;3.145;16;-0.010;0.500;3.245;17;0.061;0.112;3.223;18;0.090;-0.230;3.240;19;0.092;-0.264;3.153
