FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.105;0.502;3.129;1;-0.099;0.555;3.194;2;-0.079;0.899;3.272;3;-0.079;1.086;3.266;4;-0.237;0.773;3.202;5;-0.328;0.521;3.188;6;-0.462;0.369;3.068;7;-0.485;0.357;3.014;8;0.051;0.772;3.226;9;0.146;0.537;3.241;10;0.262;0.406;3.128;11;0.325;0.392;3.093;12;-0.178;0.462;3.102;13;-0.166;0.085;3.099;14;-0.173;-0.238;3.179;15;-0.165;-0.271;3.091;16;-0.044;0.425;3.104;17;-0.013;0.071;3.116;18;0.023;-0.248;3.199;19;0.031;-0.282;3.112
Frame2;0.036;0;-0.106;0.503;3.128;1;-0.102;0.555;3.193;2;-0.085;0.896;3.270;3;-0.084;1.084;3.264;4;-0.244;0.773;3.200;5;-0.334;0.524;3.182;6;-0.493;0.411;3.040;7;-0.527;0.393;2.965;8;0.044;0.775;3.232;9;0.130;0.553;3.250;10;0.290;0.454;3.132;11;0.332;0.464;3.108;12;-0.180;0.460;3.085;13;-0.173;0.088;3.093;14;-0.174;-0.238;3.175;15;-0.165;-0.271;3.086;16;-0.043;0.429;3.110;17;-0.017;0.072;3.091;18;0.038;-0.227;3.159;19;0.049;-0.261;3.072
Frame3;0.053;0;-0.107;0.504;3.128;1;-0.105;0.556;3.193;2;-0.111;0.888;3.259;3;-0.091;1.082;3.262;4;-0.254;0.772;3.199;5;-0.370;0.563;3.204;6;-0.482;0.455;3.030;7;-0.495;0.475;2.957;8;0.034;0.779;3.237;9;0.120;0.559;3.254;10;0.318;0.517;3.141;11;0.346;0.533;3.116;12;-0.180;0.460;3.081;13;-0.178;0.089;3.089;14;-0.176;-0.236;3.168;15;-0.166;-0.269;3.080;16;-0.044;0.432;3.114;17;-0.019;0.074;3.070;18;0.049;-0.215;3.133;19;0.061;-0.248;3.045
Frame4;0.070;0;-0.107;0.504;3.128;1;-0.105;0.556;3.193;2;-0.111;0.888;3.259;3;-0.091;1.082;3.262;4;-0.254;0.772;3.199;5;-0.370;0.563;3.204;6;-0.482;0.455;3.030;7;-0.495;0.475;2.957;8;0.034;0.779;3.237;9;0.120;0.559;3.254;10;0.318;0.517;3.141;11;0.346;0.533;3.116;12;-0.180;0.460;3.081;13;-0.178;0.089;3.089;14;-0.176;-0.236;3.168;15;-0.166;-0.269;3.080;16;-0.044;0.432;3.114;17;-0.019;0.074;3.070;18;0.049;-0.215;3.133;19;0.061;-0.248;3.045
Frame5;0.087;0;-0.108;0.504;3.127;1;-0.109;0.555;3.191;2;-0.121;0.885;3.255;3;-0.101;1.079;3.259;4;-0.268;0.772;3.196;5;-0.398;0.591;3.215;6;-0.471;0.468;3.027;7;-0.467;0.540;2.973;8;0.026;0.780;3.240;9;0.114;0.564;3.258;10;0.329;0.571;3.146;11;0.341;0.599;3.120;12;-0.182;0.457;3.078;13;-0.186;0.089;3.087;14;-0.178;-0.235;3.164;15;-0.167;-0.268;3.077;16;-0.043;0.434;3.116;17;-0.019;0.076;3.046;18;0.055;-0.209;3.117;19;0.067;-0.241;3.029
Frame6;0.103;0;-0.108;0.504;3.127;1;-0.109;0.555;3.191;2;-0.121;0.885;3.255;3;-0.101;1.079;3.259;4;-0.268;0.772;3.196;5;-0.398;0.591;3.215;6;-0.471;0.468;3.027;7;-0.467;0.540;2.973;8;0.026;0.780;3.240;9;0.114;0.564;3.258;10;0.329;0.571;3.146;11;0.341;0.599;3.120;12;-0.182;0.457;3.078;13;-0.186;0.089;3.087;14;-0.178;-0.235;3.164;15;-0.167;-0.268;3.077;16;-0.043;0.434;3.116;17;-0.019;0.076;3.046;18;0.055;-0.209;3.117;19;0.067;-0.241;3.029
Frame7;0.135;0;-0.109;0.505;3.127;1;-0.112;0.555;3.191;2;-0.128;0.883;3.253;3;-0.112;1.076;3.257;4;-0.281;0.769;3.194;5;-0.413;0.601;3.219;6;-0.324;0.580;3.019;7;-0.442;0.606;2.946;8;0.013;0.774;3.241;9;0.111;0.566;3.260;10;0.328;0.629;3.160;11;0.324;0.651;3.125;12;-0.182;0.455;3.076;13;-0.191;0.089;3.085;14;-0.179;-0.235;3.162;15;-0.167;-0.268;3.074;16;-0.044;0.436;3.122;17;-0.017;0.081;3.020;18;0.058;-0.204;3.107;19;0.072;-0.236;3.019
Frame8;0.152;0;-0.109;0.505;3.127;1;-0.112;0.555;3.191;2;-0.128;0.883;3.253;3;-0.112;1.076;3.257;4;-0.281;0.769;3.194;5;-0.413;0.601;3.219;6;-0.324;0.580;3.019;7;-0.442;0.606;2.946;8;0.013;0.774;3.241;9;0.111;0.566;3.260;10;0.328;0.629;3.160;11;0.324;0.651;3.125;12;-0.182;0.455;3.076;13;-0.191;0.089;3.085;14;-0.179;-0.235;3.162;15;-0.167;-0.268;3.074;16;-0.044;0.436;3.122;17;-0.017;0.081;3.020;18;0.058;-0.204;3.107;19;0.072;-0.236;3.019
Frame9;0.169;0;-0.112;0.505;3.127;1;-0.119;0.555;3.190;2;-0.133;0.882;3.251;3;-0.127;1.075;3.252;4;-0.294;0.766;3.194;5;-0.428;0.610;3.225;6;-0.366;0.623;2.958;7;-0.415;0.635;2.936;8;0.005;0.771;3.244;9;0.107;0.572;3.264;10;0.322;0.665;3.170;11;0.298;0.676;3.124;12;-0.187;0.451;3.076;13;-0.194;0.088;3.085;14;-0.180;-0.235;3.160;15;-0.168;-0.267;3.073;16;-0.046;0.437;3.124;17;-0.013;0.092;2.997;18;0.061;-0.200;3.097;19;0.074;-0.232;3.009
Frame10;0.186;0;-0.117;0.507;3.128;1;-0.127;0.555;3.190;2;-0.137;0.882;3.250;3;-0.143;1.075;3.247;4;-0.302;0.764;3.192;5;-0.442;0.616;3.226;6;-0.336;0.659;2.953;7;-0.383;0.633;2.935;8;0.001;0.770;3.247;9;0.120;0.598;3.287;10;0.291;0.690;3.144;11;0.257;0.686;3.134;12;-0.190;0.448;3.076;13;-0.198;0.087;3.086;14;-0.180;-0.234;3.159;15;-0.168;-0.267;3.072;16;-0.049;0.438;3.129;17;-0.011;0.122;2.970;18;0.061;-0.196;3.090;19;0.076;-0.229;3.002
