FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.079;0.552;3.110;1;-0.086;0.598;3.171;2;-0.065;0.919;3.239;3;-0.061;1.101;3.243;4;-0.220;0.781;3.171;5;-0.332;0.559;3.193;6;-0.355;0.361;3.129;7;-0.374;0.308;3.106;8;0.083;0.773;3.208;9;0.141;0.540;3.220;10;0.151;0.341;3.126;11;0.150;0.280;3.124;12;-0.147;0.489;3.072;13;-0.137;0.087;3.116;14;-0.151;-0.237;3.179;15;-0.142;-0.308;3.121;16;-0.006;0.477;3.099;17;-0.011;0.070;3.131;18;0.017;-0.245;3.186;19;-0.010;-0.319;3.181
Frame2;0.044;0;-0.077;0.547;3.109;1;-0.084;0.595;3.170;2;-0.065;0.917;3.237;3;-0.060;1.102;3.242;4;-0.220;0.780;3.169;5;-0.333;0.556;3.192;6;-0.356;0.359;3.128;7;-0.374;0.309;3.106;8;0.082;0.773;3.207;9;0.140;0.536;3.219;10;0.152;0.341;3.120;11;0.151;0.267;3.109;12;-0.145;0.485;3.074;13;-0.137;0.088;3.115;14;-0.151;-0.237;3.179;15;-0.143;-0.308;3.121;16;-0.006;0.468;3.095;17;-0.012;0.071;3.130;18;0.015;-0.246;3.186;19;-0.010;-0.319;3.181
Frame3;0.086;0;-0.075;0.544;3.108;1;-0.083;0.592;3.169;2;-0.066;0.916;3.236;3;-0.060;1.102;3.240;4;-0.220;0.779;3.168;5;-0.335;0.551;3.190;6;-0.349;0.353;3.119;7;-0.374;0.305;3.103;8;0.080;0.771;3.202;9;0.140;0.533;3.218;10;0.153;0.341;3.117;11;0.151;0.260;3.102;12;-0.144;0.484;3.074;13;-0.138;0.084;3.115;14;-0.151;-0.237;3.179;15;-0.143;-0.309;3.121;16;-0.005;0.466;3.093;17;-0.012;0.070;3.129;18;0.015;-0.246;3.185;19;-0.010;-0.319;3.181
Frame4;0.102;0;-0.075;0.541;3.108;1;-0.082;0.590;3.169;2;-0.066;0.915;3.234;3;-0.058;1.102;3.238;4;-0.221;0.779;3.167;5;-0.336;0.548;3.189;6;-0.346;0.350;3.114;7;-0.370;0.304;3.099;8;0.077;0.768;3.196;9;0.141;0.530;3.217;10;0.153;0.340;3.114;11;0.151;0.256;3.099;12;-0.142;0.475;3.067;13;-0.139;0.082;3.115;14;-0.151;-0.237;3.179;15;-0.143;-0.308;3.121;16;-0.005;0.463;3.094;17;-0.013;0.069;3.128;18;0.014;-0.246;3.185;19;-0.010;-0.319;3.181
Frame5;0.119;0;-0.075;0.541;3.108;1;-0.082;0.590;3.169;2;-0.066;0.915;3.234;3;-0.058;1.102;3.238;4;-0.221;0.779;3.167;5;-0.336;0.548;3.189;6;-0.346;0.350;3.114;7;-0.370;0.304;3.099;8;0.077;0.768;3.196;9;0.141;0.530;3.217;10;0.153;0.340;3.114;11;0.151;0.256;3.099;12;-0.142;0.475;3.067;13;-0.139;0.082;3.115;14;-0.151;-0.237;3.179;15;-0.143;-0.308;3.121;16;-0.005;0.463;3.094;17;-0.013;0.069;3.128;18;0.014;-0.246;3.185;19;-0.010;-0.319;3.181
Frame6;0.136;0;-0.074;0.540;3.107;1;-0.081;0.589;3.168;2;-0.066;0.914;3.233;3;-0.057;1.102;3.236;4;-0.221;0.779;3.166;5;-0.336;0.545;3.186;6;-0.345;0.347;3.111;7;-0.368;0.303;3.096;8;0.074;0.767;3.192;9;0.141;0.529;3.217;10;0.152;0.341;3.113;11;0.151;0.255;3.097;12;-0.142;0.473;3.066;13;-0.140;0.081;3.114;14;-0.152;-0.237;3.178;15;-0.144;-0.308;3.120;16;-0.006;0.462;3.096;17;-0.013;0.069;3.127;18;0.013;-0.245;3.184;19;-0.010;-0.319;3.181
Frame7;0.153;0;-0.074;0.540;3.107;1;-0.081;0.589;3.168;2;-0.066;0.914;3.233;3;-0.057;1.102;3.236;4;-0.221;0.779;3.166;5;-0.336;0.545;3.186;6;-0.345;0.347;3.111;7;-0.368;0.303;3.096;8;0.074;0.767;3.192;9;0.141;0.529;3.217;10;0.152;0.341;3.113;11;0.151;0.255;3.097;12;-0.142;0.473;3.066;13;-0.140;0.081;3.114;14;-0.152;-0.237;3.178;15;-0.144;-0.308;3.120;16;-0.006;0.462;3.096;17;-0.013;0.069;3.127;18;0.013;-0.245;3.184;19;-0.010;-0.319;3.181
Frame8;0.170;0;-0.074;0.539;3.107;1;-0.080;0.588;3.168;2;-0.067;0.913;3.232;3;-0.056;1.101;3.235;4;-0.221;0.779;3.165;5;-0.335;0.542;3.184;6;-0.345;0.345;3.110;7;-0.367;0.303;3.093;8;0.076;0.771;3.199;9;0.141;0.528;3.217;10;0.152;0.342;3.113;11;0.152;0.254;3.100;12;-0.142;0.472;3.065;13;-0.141;0.081;3.113;14;-0.152;-0.236;3.178;15;-0.144;-0.308;3.120;16;-0.007;0.463;3.098;17;-0.013;0.069;3.126;18;0.013;-0.245;3.184;19;-0.010;-0.319;3.181
Frame9;0.186;0;-0.074;0.539;3.107;1;-0.080;0.588;3.168;2;-0.067;0.913;3.232;3;-0.056;1.101;3.235;4;-0.221;0.779;3.165;5;-0.335;0.542;3.184;6;-0.345;0.345;3.110;7;-0.367;0.303;3.093;8;0.076;0.771;3.199;9;0.141;0.528;3.217;10;0.152;0.342;3.113;11;0.152;0.254;3.100;12;-0.142;0.472;3.065;13;-0.141;0.081;3.113;14;-0.152;-0.236;3.178;15;-0.144;-0.308;3.120;16;-0.007;0.463;3.098;17;-0.013;0.069;3.126;18;0.013;-0.245;3.184;19;-0.010;-0.319;3.181
Frame10;0.203;0;-0.074;0.538;3.107;1;-0.080;0.587;3.167;2;-0.067;0.912;3.231;3;-0.055;1.101;3.234;4;-0.220;0.780;3.164;5;-0.335;0.541;3.182;6;-0.346;0.344;3.109;7;-0.366;0.303;3.092;8;0.077;0.771;3.200;9;0.141;0.528;3.216;10;0.151;0.342;3.112;11;0.154;0.262;3.109;12;-0.141;0.471;3.065;13;-0.141;0.082;3.112;14;-0.152;-0.236;3.178;15;-0.145;-0.308;3.120;16;-0.008;0.465;3.098;17;-0.013;0.068;3.126;18;0.013;-0.245;3.183;19;-0.010;-0.319;3.181
Frame11;0.220;0;-0.074;0.538;3.107;1;-0.080;0.587;3.167;2;-0.067;0.912;3.231;3;-0.055;1.101;3.234;4;-0.220;0.780;3.164;5;-0.335;0.541;3.182;6;-0.346;0.344;3.109;7;-0.366;0.303;3.092;8;0.077;0.771;3.200;9;0.141;0.528;3.216;10;0.151;0.342;3.112;11;0.154;0.262;3.109;12;-0.141;0.471;3.065;13;-0.141;0.082;3.112;14;-0.152;-0.236;3.178;15;-0.145;-0.308;3.120;16;-0.008;0.465;3.098;17;-0.013;0.068;3.126;18;0.013;-0.245;3.183;19;-0.010;-0.319;3.181
