FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.053;0.433;3.437;1;-0.057;0.488;3.495;2;-0.059;0.832;3.526;3;-0.072;1.024;3.522;4;-0.207;0.714;3.451;5;-0.257;0.466;3.428;6;-0.300;0.267;3.428;7;-0.292;0.218;3.369;8;0.084;0.717;3.478;9;0.152;0.468;3.400;10;0.181;0.284;3.319;11;0.179;0.235;3.286;12;-0.116;0.368;3.416;13;-0.163;0.014;3.404;14;-0.217;-0.277;3.399;15;-0.213;-0.300;3.327;16;0.012;0.370;3.424;17;0.073;0.006;3.411;18;0.113;-0.314;3.456;19;0.119;-0.360;3.410
Frame2;0.046;0;-0.054;0.433;3.436;1;-0.058;0.488;3.494;2;-0.063;0.831;3.524;3;-0.075;1.023;3.521;4;-0.209;0.714;3.451;5;-0.258;0.465;3.429;6;-0.301;0.267;3.426;7;-0.295;0.215;3.371;8;0.080;0.717;3.477;9;0.149;0.470;3.398;10;0.179;0.285;3.317;11;0.174;0.234;3.284;12;-0.117;0.368;3.415;13;-0.163;0.014;3.403;14;-0.217;-0.276;3.400;15;-0.213;-0.299;3.325;16;0.011;0.370;3.423;17;0.072;0.006;3.410;18;0.112;-0.315;3.458;19;0.126;-0.356;3.408
Frame3;0.087;0;-0.055;0.433;3.435;1;-0.059;0.488;3.493;2;-0.066;0.831;3.523;3;-0.078;1.022;3.520;4;-0.211;0.714;3.452;5;-0.260;0.464;3.431;6;-0.302;0.267;3.424;7;-0.297;0.213;3.373;8;0.077;0.718;3.475;9;0.147;0.471;3.396;10;0.177;0.286;3.315;11;0.169;0.233;3.282;12;-0.118;0.368;3.415;13;-0.163;0.014;3.403;14;-0.217;-0.275;3.399;15;-0.213;-0.298;3.324;16;0.011;0.371;3.422;17;0.072;0.004;3.410;18;0.133;-0.307;3.430;19;0.141;-0.336;3.361
Frame4;0.104;0;-0.056;0.433;3.434;1;-0.060;0.488;3.493;2;-0.068;0.830;3.522;3;-0.080;1.021;3.518;4;-0.213;0.714;3.452;5;-0.261;0.464;3.432;6;-0.303;0.266;3.423;7;-0.301;0.210;3.379;8;0.075;0.718;3.474;9;0.144;0.472;3.395;10;0.174;0.286;3.314;11;0.166;0.232;3.283;12;-0.119;0.367;3.414;13;-0.164;0.015;3.403;14;-0.218;-0.276;3.399;15;-0.214;-0.300;3.322;16;0.010;0.371;3.421;17;0.072;0.003;3.410;18;0.141;-0.304;3.422;19;0.148;-0.328;3.344
Frame5;0.121;0;-0.056;0.433;3.434;1;-0.060;0.488;3.493;2;-0.068;0.830;3.522;3;-0.080;1.021;3.518;4;-0.213;0.714;3.452;5;-0.261;0.464;3.432;6;-0.303;0.266;3.423;7;-0.301;0.210;3.379;8;0.075;0.718;3.474;9;0.144;0.472;3.395;10;0.174;0.286;3.314;11;0.166;0.232;3.283;12;-0.119;0.367;3.414;13;-0.164;0.015;3.403;14;-0.218;-0.276;3.399;15;-0.214;-0.300;3.322;16;0.010;0.371;3.421;17;0.072;0.003;3.410;18;0.141;-0.304;3.422;19;0.148;-0.328;3.344
Frame6;0.137;0;-0.057;0.433;3.434;1;-0.061;0.488;3.492;2;-0.070;0.830;3.521;3;-0.082;1.021;3.518;4;-0.215;0.714;3.452;5;-0.263;0.464;3.434;6;-0.304;0.266;3.423;7;-0.303;0.208;3.384;8;0.073;0.718;3.473;9;0.142;0.472;3.394;10;0.170;0.287;3.312;11;0.162;0.231;3.283;12;-0.120;0.367;3.413;13;-0.165;0.015;3.404;14;-0.219;-0.277;3.398;15;-0.215;-0.302;3.320;16;0.009;0.371;3.420;17;0.072;0.002;3.410;18;0.146;-0.303;3.418;19;0.151;-0.324;3.336
Frame7;0.154;0;-0.057;0.433;3.434;1;-0.061;0.488;3.492;2;-0.070;0.830;3.521;3;-0.082;1.021;3.518;4;-0.215;0.714;3.452;5;-0.263;0.464;3.434;6;-0.304;0.266;3.423;7;-0.303;0.208;3.384;8;0.073;0.718;3.473;9;0.142;0.472;3.394;10;0.170;0.287;3.312;11;0.162;0.231;3.283;12;-0.120;0.367;3.413;13;-0.165;0.015;3.404;14;-0.219;-0.277;3.398;15;-0.215;-0.302;3.320;16;0.009;0.371;3.420;17;0.072;0.002;3.410;18;0.146;-0.303;3.418;19;0.151;-0.324;3.336
Frame8;0.171;0;-0.058;0.433;3.433;1;-0.062;0.487;3.492;2;-0.071;0.830;3.520;3;-0.083;1.020;3.517;4;-0.217;0.714;3.452;5;-0.264;0.464;3.435;6;-0.305;0.266;3.422;7;-0.306;0.205;3.390;8;0.071;0.718;3.472;9;0.140;0.472;3.393;10;0.166;0.286;3.310;11;0.160;0.231;3.283;12;-0.121;0.367;3.412;13;-0.165;0.015;3.404;14;-0.220;-0.277;3.397;15;-0.216;-0.303;3.319;16;0.008;0.371;3.420;17;0.072;0.002;3.410;18;0.149;-0.302;3.415;19;0.153;-0.322;3.330
Frame9;0.188;0;-0.058;0.433;3.433;1;-0.062;0.487;3.492;2;-0.071;0.830;3.520;3;-0.083;1.020;3.517;4;-0.217;0.714;3.452;5;-0.264;0.464;3.435;6;-0.305;0.266;3.422;7;-0.306;0.205;3.390;8;0.071;0.718;3.472;9;0.140;0.472;3.393;10;0.166;0.286;3.310;11;0.160;0.231;3.283;12;-0.121;0.367;3.412;13;-0.165;0.015;3.404;14;-0.220;-0.277;3.397;15;-0.216;-0.303;3.319;16;0.008;0.371;3.420;17;0.072;0.002;3.410;18;0.149;-0.302;3.415;19;0.153;-0.322;3.330
Frame10;0.204;0;-0.058;0.433;3.432;1;-0.063;0.487;3.491;2;-0.072;0.830;3.520;3;-0.084;1.020;3.516;4;-0.219;0.714;3.451;5;-0.266;0.464;3.436;6;-0.305;0.266;3.420;7;-0.308;0.204;3.394;8;0.070;0.718;3.471;9;0.139;0.472;3.393;10;0.164;0.286;3.309;11;0.159;0.230;3.283;12;-0.122;0.367;3.412;13;-0.166;0.015;3.405;14;-0.220;-0.279;3.396;15;-0.217;-0.306;3.318;16;0.008;0.371;3.419;17;0.072;0.001;3.410;18;0.153;-0.303;3.418;19;0.156;-0.353;3.376
