FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.110;0.500;3.306;1;-0.115;0.561;3.360;2;-0.133;0.914;3.354;3;-0.125;1.100;3.343;4;-0.284;0.787;3.324;5;-0.314;0.531;3.303;6;-0.298;0.337;3.176;7;-0.305;0.285;3.134;8;0.023;0.792;3.334;9;0.064;0.546;3.316;10;0.045;0.341;3.157;11;0.037;0.284;3.112;12;-0.178;0.429;3.285;13;-0.195;0.051;3.328;14;-0.210;-0.241;3.306;15;-0.208;-0.276;3.224;16;-0.037;0.434;3.304;17;0.007;0.111;3.229;18;0.044;-0.245;3.267;19;0.052;-0.294;3.191
Frame2;0.040;0;-0.111;0.500;3.306;1;-0.116;0.561;3.360;2;-0.132;0.913;3.349;3;-0.124;1.097;3.334;4;-0.283;0.786;3.320;5;-0.314;0.528;3.301;6;-0.314;0.315;3.203;7;-0.303;0.272;3.186;8;0.023;0.792;3.327;9;0.064;0.546;3.310;10;0.056;0.342;3.168;11;0.055;0.266;3.130;12;-0.179;0.429;3.284;13;-0.198;0.068;3.324;14;-0.210;-0.241;3.305;15;-0.208;-0.276;3.224;16;-0.038;0.434;3.304;17;0.011;0.098;3.228;18;0.054;-0.254;3.263;19;0.063;-0.299;3.186
Frame3;0.057;0;-0.111;0.500;3.306;1;-0.116;0.561;3.360;2;-0.132;0.913;3.349;3;-0.124;1.097;3.334;4;-0.283;0.786;3.320;5;-0.314;0.528;3.301;6;-0.314;0.315;3.203;7;-0.303;0.272;3.186;8;0.023;0.792;3.327;9;0.064;0.546;3.310;10;0.056;0.342;3.168;11;0.055;0.266;3.130;12;-0.179;0.429;3.284;13;-0.198;0.068;3.324;14;-0.210;-0.241;3.305;15;-0.208;-0.276;3.224;16;-0.038;0.434;3.304;17;0.011;0.098;3.228;18;0.054;-0.254;3.263;19;0.063;-0.299;3.186
Frame4;0.074;0;-0.111;0.500;3.306;1;-0.116;0.561;3.360;2;-0.132;0.913;3.349;3;-0.124;1.097;3.334;4;-0.283;0.786;3.320;5;-0.314;0.528;3.301;6;-0.314;0.315;3.203;7;-0.303;0.272;3.186;8;0.023;0.792;3.327;9;0.064;0.546;3.310;10;0.056;0.342;3.168;11;0.055;0.266;3.130;12;-0.179;0.429;3.284;13;-0.198;0.068;3.324;14;-0.210;-0.241;3.305;15;-0.208;-0.276;3.224;16;-0.038;0.434;3.304;17;0.011;0.098;3.228;18;0.054;-0.254;3.263;19;0.063;-0.299;3.186
Frame5;0.090;0;-0.111;0.500;3.305;1;-0.116;0.561;3.358;2;-0.128;0.911;3.342;3;-0.122;1.095;3.327;4;-0.280;0.785;3.316;5;-0.313;0.525;3.299;6;-0.337;0.299;3.237;7;-0.352;0.272;3.235;8;0.024;0.792;3.319;9;0.075;0.535;3.291;10;0.084;0.323;3.191;11;0.092;0.271;3.160;12;-0.179;0.429;3.284;13;-0.199;0.073;3.322;14;-0.210;-0.242;3.305;15;-0.209;-0.277;3.224;16;-0.039;0.434;3.303;17;0.013;0.089;3.229;18;0.064;-0.259;3.261;19;0.072;-0.302;3.184
Frame6;0.128;0;-0.111;0.499;3.303;1;-0.114;0.560;3.355;2;-0.122;0.909;3.335;3;-0.116;1.092;3.321;4;-0.275;0.783;3.312;5;-0.333;0.534;3.302;6;-0.396;0.311;3.276;7;-0.407;0.293;3.281;8;0.028;0.792;3.309;9;0.087;0.531;3.278;10;0.150;0.319;3.215;11;0.177;0.251;3.189;12;-0.179;0.429;3.284;13;-0.195;0.059;3.333;14;-0.210;-0.242;3.304;15;-0.210;-0.278;3.224;16;-0.040;0.433;3.301;17;0.015;0.085;3.229;18;0.069;-0.261;3.261;19;0.078;-0.304;3.184
Frame7;0.145;0;-0.109;0.498;3.300;1;-0.109;0.560;3.350;2;-0.109;0.910;3.328;3;-0.101;1.092;3.319;4;-0.267;0.781;3.309;5;-0.360;0.561;3.309;6;-0.458;0.347;3.320;7;-0.492;0.295;3.342;8;0.037;0.792;3.295;9;0.121;0.557;3.272;10;0.234;0.359;3.238;11;0.270;0.291;3.233;12;-0.178;0.429;3.283;13;-0.195;0.055;3.333;14;-0.210;-0.243;3.304;15;-0.210;-0.278;3.224;16;-0.038;0.432;3.296;17;0.020;0.079;3.233;18;0.074;-0.263;3.261;19;0.081;-0.306;3.184
Frame8;0.162;0;-0.109;0.498;3.300;1;-0.109;0.560;3.350;2;-0.109;0.910;3.328;3;-0.101;1.092;3.319;4;-0.267;0.781;3.309;5;-0.360;0.561;3.309;6;-0.458;0.347;3.320;7;-0.492;0.295;3.342;8;0.037;0.792;3.295;9;0.121;0.557;3.272;10;0.234;0.359;3.238;11;0.270;0.291;3.233;12;-0.178;0.429;3.283;13;-0.195;0.055;3.333;14;-0.210;-0.243;3.304;15;-0.210;-0.278;3.224;16;-0.038;0.432;3.296;17;0.020;0.079;3.233;18;0.074;-0.263;3.261;19;0.081;-0.306;3.184
Frame9;0.179;0;-0.104;0.497;3.296;1;-0.101;0.560;3.345;2;-0.095;0.913;3.323;3;-0.068;1.093;3.326;4;-0.240;0.786;3.303;5;-0.402;0.601;3.335;6;-0.531;0.402;3.337;7;-0.573;0.342;3.338;8;0.053;0.790;3.286;9;0.177;0.591;3.266;10;0.320;0.402;3.256;11;0.363;0.338;3.260;12;-0.173;0.428;3.281;13;-0.195;0.052;3.331;14;-0.209;-0.243;3.305;15;-0.211;-0.280;3.226;16;-0.036;0.431;3.292;17;0.023;0.076;3.235;18;0.078;-0.264;3.263;19;0.085;-0.307;3.187
Frame10;0.196;0;-0.104;0.497;3.296;1;-0.101;0.560;3.345;2;-0.095;0.913;3.323;3;-0.068;1.093;3.326;4;-0.240;0.786;3.303;5;-0.402;0.601;3.335;6;-0.531;0.402;3.337;7;-0.573;0.342;3.338;8;0.053;0.790;3.286;9;0.177;0.591;3.266;10;0.320;0.402;3.256;11;0.363;0.338;3.260;12;-0.173;0.428;3.281;13;-0.195;0.052;3.331;14;-0.209;-0.243;3.305;15;-0.211;-0.280;3.226;16;-0.036;0.431;3.292;17;0.023;0.076;3.235;18;0.078;-0.264;3.263;19;0.085;-0.307;3.187
