FrameNo;Time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;Head;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;HandRightCoordinates.x;HandRightCoordinates.y;HandRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z
Frame1;0.000;0;-0.055;0.504;3.211;1;-0.058;0.563;3.265;2;-0.069;0.906;3.273;3;-0.077;1.093;3.252;4;-0.233;0.781;3.236;5;-0.270;0.563;3.196;6;-0.198;0.459;3.008;7;-0.206;0.431;2.950;8;0.073;0.792;3.247;9;0.129;0.522;3.247;10;0.146;0.323;3.166;11;0.150;0.283;3.145;12;-0.122;0.434;3.191;13;-0.164;0.086;3.186;14;-0.181;-0.202;3.200;15;-0.179;-0.230;3.125;16;0.016;0.438;3.206;17;0.054;0.089;3.206;18;0.097;-0.231;3.240;19;0.101;-0.259;3.166
Frame2;0.042;0;-0.059;0.504;3.211;1;-0.061;0.563;3.265;2;-0.074;0.907;3.271;3;-0.079;1.092;3.251;4;-0.239;0.781;3.238;5;-0.273;0.567;3.183;6;-0.173;0.469;3.003;7;-0.151;0.467;2.948;8;0.067;0.789;3.242;9;0.126;0.522;3.246;10;0.143;0.324;3.163;11;0.148;0.283;3.144;12;-0.126;0.433;3.192;13;-0.165;0.086;3.183;14;-0.182;-0.202;3.197;15;-0.182;-0.230;3.122;16;0.013;0.438;3.206;17;0.052;0.088;3.200;18;0.097;-0.231;3.239;19;0.100;-0.259;3.165
Frame3;0.058;0;-0.063;0.504;3.212;1;-0.064;0.563;3.265;2;-0.079;0.907;3.269;3;-0.080;1.092;3.250;4;-0.244;0.781;3.238;5;-0.274;0.572;3.170;6;-0.143;0.473;3.010;7;-0.101;0.481;2.958;8;0.062;0.788;3.238;9;0.123;0.522;3.245;10;0.141;0.324;3.162;11;0.148;0.284;3.143;12;-0.130;0.432;3.193;13;-0.166;0.087;3.182;14;-0.183;-0.202;3.195;15;-0.183;-0.231;3.120;16;0.008;0.437;3.207;17;0.051;0.087;3.193;18;0.097;-0.232;3.238;19;0.099;-0.260;3.163
Frame4;0.075;0;-0.063;0.504;3.212;1;-0.064;0.563;3.265;2;-0.079;0.907;3.269;3;-0.080;1.092;3.250;4;-0.244;0.781;3.238;5;-0.274;0.572;3.170;6;-0.143;0.473;3.010;7;-0.101;0.481;2.958;8;0.062;0.788;3.238;9;0.123;0.522;3.245;10;0.141;0.324;3.162;11;0.148;0.284;3.143;12;-0.130;0.432;3.193;13;-0.166;0.087;3.182;14;-0.183;-0.202;3.195;15;-0.183;-0.231;3.120;16;0.008;0.437;3.207;17;0.051;0.087;3.193;18;0.097;-0.232;3.238;19;0.099;-0.260;3.163
Frame5;0.092;0;-0.066;0.503;3.212;1;-0.067;0.563;3.266;2;-0.084;0.907;3.265;3;-0.063;1.082;3.233;4;-0.247;0.782;3.238;5;-0.276;0.577;3.160;6;-0.122;0.484;3.016;7;-0.081;0.490;2.961;8;0.060;0.785;3.235;9;0.120;0.522;3.244;10;0.140;0.324;3.161;11;0.147;0.284;3.144;12;-0.134;0.432;3.194;13;-0.167;0.087;3.181;14;-0.184;-0.202;3.193;15;-0.184;-0.231;3.119;16;0.004;0.436;3.209;17;0.050;0.088;3.187;18;0.098;-0.232;3.236;19;0.099;-0.261;3.162
Frame6;0.108;0;-0.066;0.503;3.212;1;-0.067;0.563;3.266;2;-0.084;0.907;3.265;3;-0.063;1.082;3.233;4;-0.247;0.782;3.238;5;-0.276;0.577;3.160;6;-0.122;0.484;3.016;7;-0.081;0.490;2.961;8;0.060;0.785;3.235;9;0.120;0.522;3.244;10;0.140;0.324;3.161;11;0.147;0.284;3.144;12;-0.134;0.432;3.194;13;-0.167;0.087;3.181;14;-0.184;-0.202;3.193;15;-0.184;-0.231;3.119;16;0.004;0.436;3.209;17;0.050;0.088;3.187;18;0.098;-0.232;3.236;19;0.099;-0.261;3.162
Frame7;0.125;0;-0.069;0.503;3.214;1;-0.070;0.563;3.266;2;-0.087;0.907;3.263;3;-0.033;1.069;3.222;4;-0.244;0.786;3.234;5;-0.277;0.580;3.153;6;-0.110;0.489;3.021;7;-0.070;0.496;2.962;8;0.060;0.780;3.233;9;0.118;0.522;3.243;10;0.139;0.323;3.161;11;0.145;0.275;3.144;12;-0.136;0.431;3.195;13;-0.175;0.094;3.182;14;-0.184;-0.202;3.192;15;-0.185;-0.231;3.118;16;0.000;0.434;3.213;17;0.049;0.087;3.181;18;0.099;-0.233;3.233;19;0.100;-0.262;3.159
Frame8;0.142;0;-0.069;0.503;3.214;1;-0.070;0.563;3.266;2;-0.087;0.907;3.263;3;-0.033;1.069;3.222;4;-0.244;0.786;3.234;5;-0.277;0.580;3.153;6;-0.110;0.489;3.021;7;-0.070;0.496;2.962;8;0.060;0.780;3.233;9;0.118;0.522;3.243;10;0.139;0.323;3.161;11;0.145;0.275;3.144;12;-0.136;0.431;3.195;13;-0.175;0.094;3.182;14;-0.184;-0.202;3.192;15;-0.185;-0.231;3.118;16;0.000;0.434;3.213;17;0.049;0.087;3.181;18;0.099;-0.233;3.233;19;0.100;-0.262;3.159
Frame9;0.159;0;-0.072;0.502;3.215;1;-0.073;0.563;3.267;2;-0.087;0.902;3.255;3;-0.005;1.053;3.214;4;-0.241;0.789;3.231;5;-0.305;0.600;3.148;6;-0.125;0.504;3.048;7;-0.080;0.503;2.993;8;0.062;0.773;3.231;9;0.116;0.521;3.243;10;0.138;0.321;3.164;11;0.145;0.260;3.156;12;-0.138;0.431;3.196;13;-0.182;0.101;3.183;14;-0.185;-0.202;3.192;15;-0.186;-0.231;3.117;16;-0.005;0.431;3.219;17;0.047;0.087;3.175;18;0.100;-0.233;3.228;19;0.101;-0.262;3.155
Frame10;0.176;0;-0.074;0.500;3.217;1;-0.074;0.562;3.267;2;-0.075;0.891;3.246;3;0.020;1.036;3.210;4;-0.235;0.792;3.225;5;-0.318;0.610;3.147;6;-0.137;0.513;3.065;7;-0.083;0.503;3.011;8;0.065;0.763;3.228;9;0.115;0.521;3.243;10;0.138;0.320;3.167;11;0.145;0.254;3.160;12;-0.140;0.430;3.197;13;-0.188;0.107;3.184;14;-0.187;-0.202;3.191;15;-0.186;-0.231;3.116;16;-0.008;0.426;3.224;17;0.046;0.087;3.169;18;0.102;-0.233;3.225;19;0.103;-0.263;3.151
Frame11;0.192;0;-0.074;0.500;3.217;1;-0.074;0.562;3.267;2;-0.075;0.891;3.246;3;0.020;1.036;3.210;4;-0.235;0.792;3.225;5;-0.318;0.610;3.147;6;-0.137;0.513;3.065;7;-0.083;0.503;3.011;8;0.065;0.763;3.228;9;0.115;0.521;3.243;10;0.138;0.320;3.167;11;0.145;0.254;3.160;12;-0.140;0.430;3.197;13;-0.188;0.107;3.184;14;-0.187;-0.202;3.191;15;-0.186;-0.231;3.116;16;-0.008;0.426;3.224;17;0.046;0.087;3.169;18;0.102;-0.233;3.225;19;0.103;-0.263;3.151
Frame12;0.209;0;-0.074;0.500;3.217;1;-0.074;0.562;3.267;2;-0.075;0.891;3.246;3;0.020;1.036;3.210;4;-0.235;0.792;3.225;5;-0.318;0.610;3.147;6;-0.137;0.513;3.065;7;-0.083;0.503;3.011;8;0.065;0.763;3.228;9;0.115;0.521;3.243;10;0.138;0.320;3.167;11;0.145;0.254;3.160;12;-0.140;0.430;3.197;13;-0.188;0.107;3.184;14;-0.187;-0.202;3.191;15;-0.186;-0.231;3.116;16;-0.008;0.426;3.224;17;0.046;0.087;3.169;18;0.102;-0.233;3.225;19;0.103;-0.263;3.151
